Serving HTTP on 0.0.0.0 port 8080 (http://0.0.0.0:8080/) ...
127.0.0.1 - - [21/Sep/2025 04:31:26] "GET /popup.html HTTP/1.1" 200 -
127.0.0.1 - - [21/Sep/2025 04:31:26] "GET /popup/bundle.js HTTP/1.1" 200 -
127.0.0.1 - - [21/Sep/2025 04:31:57] "GET /popup.html HTTP/1.1" 200 -
127.0.0.1 - - [21/Sep/2025 04:31:58] "GET /popup/bundle.js HTTP/1.1" 200 -
127.0.0.1 - - [21/Sep/2025 04:32:19] "GET /dashboard.html HTTP/1.1" 200 -
127.0.0.1 - - [21/Sep/2025 04:32:19] "GET /dashboard/bundle.js HTTP/1.1" 200 -
127.0.0.1 - - [21/Sep/2025 04:35:19] "HEAD /popup.html HTTP/1.1" 200 -
127.0.0.1 - - [21/Sep/2025 04:35:55] "GET /popup.html HTTP/1.1" 200 -
127.0.0.1 - - [21/Sep/2025 04:35:59] "HEAD /popup/bundle.js HTTP/1.1" 200 -
127.0.0.1 - - [21/Sep/2025 04:36:18] "GET /popup.html HTTP/1.1" 200 -
127.0.0.1 - - [21/Sep/2025 04:36:18] "GET /popup/bundle.js HTTP/1.1" 200 -
127.0.0.1 - - [21/Sep/2025 04:36:46] "GET /popup.html HTTP/1.1" 200 -
127.0.0.1 - - [21/Sep/2025 04:36:46] "GET /popup/bundle.js HTTP/1.1" 200 -
127.0.0.1 - - [21/Sep/2025 04:37:16] "GET /dashboard.html HTTP/1.1" 200 -
127.0.0.1 - - [21/Sep/2025 04:37:16] "GET /dashboard/bundle.js HTTP/1.1" 200 -
127.0.0.1 - - [21/Sep/2025 04:37:48] "GET /popup.html HTTP/1.1" 200 -
127.0.0.1 - - [21/Sep/2025 04:37:48] "GET /popup/bundle.js HTTP/1.1" 200 -
